Rok,Kandidátnílistina,Kandidátnílistina.1,Poř.číslo,Kandidát,Kandidát.1,Věk,Navrh.strana,Polit.přísl.,Hlasy,Hlasy.1,Pořadí,Mandát
Rok,Kandidátnílistina,Kandidátnílistina,Poř.číslo,"Příjmení, jméno",Tituly,Věk,Navrh.strana,Polit.přísl.,abs.,v %,Pořadí,Mandát
2014,1,"TOP 09 - lidi, které znáte",9,Zákoucká Dagmar,,39,TOP 09,TOP 09,1 001,3.06,7,
2014,11,Česká str.sociálně demokrat.,25,Zámišová Vanda,,37,ČSSD,ČSSD,1 865,2.83,18,
2014,6,Občanská demokratická strana,32,Záveský Martin,Bc.,26,ODS,ODS,2 309,2.33,20,
2014,6,Občanská demokratická strana,17,Zbíral Petr,Mgr.,43,ODS,ODS,3 003,3.03,5,
2014,9,Strana svobodných občanů,14,Zejval Miloš,,48,Svobodní,BEZPP,239,3.23,,
2014,1,"TOP 09 - lidi, které znáte",12,Zeman Přemysl,Ing.,34,TOP 09,TOP 09,949,2.90,10,
2014,1,"TOP 09 - lidi, které znáte",5,Zítka Jindřich,Ing. arch.,40,TOP 09,TOP 09,1 193,3.65,3,
2014,9,Strana svobodných občanů,26,Zmatlík František,,28,Svobodní,BEZPP,193,2.61,,
2014,6,Občanská demokratická strana,25,Zőrkler Jiří,,44,ODS,ODS,2 867,2.89,13,
2014,8,Otevřená radnice,2,Žák Martin,Ing.,44,Hora 2014,BEZPP,219,4.58,,
2014,5,Strana zelených,11,Žemlička Radan,,50,Zelení,BEZPP,485,2.79,,
2014,10,Mladoboleslavské hnutí nezáv.,31,Žid Vladimír,,34,MBN,BEZPP,179,2.06,,
2014,1,"TOP 09 - lidi, které znáte",20,Žitný Dominik,,23,NK,BEZPP,851,2.60,17,
2014,2,Křesť.demokr.unie-Čs.str.lid.,19,Žlab František,,67,KDU-ČSL,BEZPP,318,2.41,,
2018,5,KRÁSNÁ MLADÁ BOLESLAV,31,Absolon Tomáš,,65,NK,BEZPP,282,2.30,,
2018,8,"Koalice KDU-ČSL, Zelení",12,Adam Tomáš,,65,Zelení,Zelení,601,2.91,11,
2018,5,KRÁSNÁ MLADÁ BOLESLAV,21,Alcantara Augusto,Bc.,56,NK,BEZPP,391,3.20,,
2018,1,Komunistická str.Čech a Moravy,10,Baboráková Ilona,,57,KSČM,BEZPP,782,3.11,8,
2018,3,Občanská demokratická strana,12,Bajtalonová Eva,Bc.,33,ODS,ODS,3 337,3.05,1,
2018,7,Svob.a př.dem.-T.Okamura (SPD),4,Bareš Josef,Ing.,65,SPD,SPD,621,3.34,,
2018,7,Svob.a př.dem.-T.Okamura (SPD),17,Barešová Alena,MUDr.,67,SPD,BEZPP,599,3.22,,
2018,2,TOP 09,4,Bartošová Kufrová Eva,MUDr.,39,TOP 09,BEZPP,718,4.62,,
2018,2,TOP 09,8,Bařinka Zdeněk,Ing. Ph.D.,42,TOP 09,TOP 09,486,3.13,,
2018,1,Komunistická str.Čech a Moravy,14,Batěk František,,41,KSČM,BEZPP,750,2.98,12,
2018,2,TOP 09,17,Bázlerová Gabriela,Ing.,48,TOP 09,BEZPP,495,3.19,,
2018,9,STAROSTOVÉ A NEZÁVISLÍ,17,Bečvárovský Václav,,85,STAN,BEZPP,1 402,2.89,12,
2018,2,TOP 09,26,Běloubek Roman,,28,TOP 09,BEZPP,384,2.47,,
2018,3,Občanská demokratická strana,19,Beneš Luděk,PhDr.,64,ODS,BEZPP,3 371,3.09,8,
2018,6,Česká str.sociálně demokrat.,11,Beneš Michal,Bc.,43,ČSSD,ČSSD,892,3.01,8,
2018,5,KRÁSNÁ MLADÁ BOLESLAV,11,Bílek Lukáš,,29,NK,BEZPP,370,3.02,,
2018,6,Česká str.sociálně demokrat.,18,Bílek Michal,,30,ČSSD,BEZPP,853,2.88,15,
2018,2,TOP 09,1,Bílková Iva,,44,TOP 09,TOP 09,759,4.89,,
2018,1,Komunistická str.Čech a Moravy,32,Boháček Václav,,68,KSČM,BEZPP,664,2.64,30,
2018,3,Občanská demokratická strana,26,Borozidis Lukáš,Ing.,37,ODS,ODS,3 089,2.83,15,
2018,3,Občanská demokratická strana,30,Bote Václav,,44,ODS,BEZPP,2 922,2.67,19,
2018,4,ANO 2011+Volba pro Ml.Boleslav,1,Bouška Jiří,Ing.,39,VpMB,BEZPP,4 331,4.32,1,*
2018,1,Komunistická str.Čech a Moravy,3,Brich Karel,,42,KSČM,KSČM,790,3.14,3,
2018,1,Komunistická str.Čech a Moravy,23,Brožková Anna,,66,KSČM,BEZPP,704,2.80,21,
2018,5,KRÁSNÁ MLADÁ BOLESLAV,28,Bruna Karel,,58,NK,BEZPP,331,2.70,,
2018,7,Svob.a př.dem.-T.Okamura (SPD),10,Brynych Zdeněk,,30,SPD,SPD,567,3.05,,
2018,7,Svob.a př.dem.-T.Okamura (SPD),22,Brynychová Eva,,62,SPD,BEZPP,539,2.90,,
2018,7,Svob.a př.dem.-T.Okamura (SPD),11,Bříška Kamil,,58,SPD,SPD,571,3.07,,
